Раздел,Подраздел,Функционал,OpenAPI эндпоинт,Статус,Приоритет,Кто видит,Комментарий
Главная,Лента видео,Вертикальная лента,GET /videos/feed,✅ Готово,Высокий,Все пользователи,Основная функция
Главная,Лента видео,Лайки,POST /videos/{id}/like,✅ Готово,Высокий,Все пользователи,
Главная,Лента видео,Комментарии,GET/POST /videos/{id}/comments,✅ Готово,Высокий,Все пользователи,
Главная,Лента видео,Загрузка видео,POST /videos/upload,✅ Готово,Высокий,Мастера,
Главная,Сторисы,Сторисы 24ч,❌ Отсутствует,❌ Не реализовано,Средний,Все пользователи,Нужно добавить
Главная,Сторисы,Голосовые сторисы,❌ Отсутствует,❌ Не реализовано,Низкий,Все пользователи,Экспериментально
Главная,Интерактив,Репорты контента,❌ Отсутствует,❌ Не реализовано,Средний,Все пользователи,Модерация
Главная,Геймификация,Очки за просмотр,❌ Отсутствует,❌ Не реализовано,Низкий,Все пользователи,Удержание
Поиск,Основное,Поиск пользователей,GET /search/users,✅ Готово,Высокий,Все пользователи,
Поиск,Основное,Поиск по категориям,GET /requests,✅ Готово,Высокий,Все пользователи,
Поиск,Карта,Геолокация,GET /maps/masters,✅ Готово,Средний,Все пользователи,
Поиск,AR,AR конфигуратор,❌ Отсутствует,❌ Не реализовано,Низкий,Все пользователи,Инновация
Поиск,AI,AI подборка,❌ Отсутствует,❌ Не реализовано,Низкий,Все пользователи,Персонализация
Создать,Контент,Загрузка видео,POST /videos/upload,✅ Готово,Высокий,Мастера,
Создать,Заявки,Создание заявки,POST /requests,✅ Готово,Высокий,Покупатели,
Создать,Заявки,Предложения,GET /requests/{id}/proposals,✅ Готово,Высокий,Мастера,
Создать,Заявки,Принятие предложения,POST /requests/{id}/proposals/{proposal_id}/accept,✅ Готово,Высокий,Покупатели,
Создать,Стримы,Прямые эфиры,❌ Отсутствует,❌ Не реализовано,Средний,Мастера,Live контент
Создать,Голосовые,Голосовые комнаты,❌ Отсутствует,❌ Не реализовано,Средний,Все пользователи,Социальность
Чаты,Основное,Список чатов,GET /chats,✅ Готово,Высокий,Все пользователи,
Чаты,Основное,Сообщения,GET/POST /chats/{id}/messages,✅ Готово,Высокий,Все пользователи,
Чаты,Видеозвонки,Инициация звонка,POST /calls/initiate,✅ Готово,Высокий,Все пользователи,
Чаты,Видеозвонки,WebRTC токены,GET /calls/{id}/webrtc-token,✅ Готово,Высокий,Все пользователи,
Чаты,Видеозвонки,История звонков,GET /calls/history,✅ Готово,Средний,Все пользователи,
Чаты,Расширения,Голосовые сообщения,❌ Отсутствует,❌ Не реализовано,Средний,Все пользователи,Удобство
Чаты,Расширения,Реакции на сообщения,❌ Отсутствует,❌ Не реализовано,Низкий,Все пользователи,UX улучшение
Чаты,Расширения,Групповые чаты,❌ Отсутствует,❌ Не реализовано,Средний,Все пользователи,Командная работа
Профиль,Основное,Профиль пользователя,GET /users/me,✅ Готово,Высокий,Все пользователи,
Профиль,Основное,Обновление профиля,PUT /users/me,✅ Готово,Высокий,Все пользователи,
Профиль,Основное,Загрузка аватара,POST /users/me/avatar,✅ Готово,Средний,Все пользователи,
Профиль,Подписки,Список подписок,GET /subscriptions/my,✅ Готово,Средний,Все пользователи,
Профиль,Безопасность,Блокировка пользователей,POST /users/{id}/block,✅ Готово,Средний,Все пользователи,
Профиль,Геймификация,Уровни и очки,❌ Отсутствует,❌ Не реализовано,Низкий,Все пользователи,Удержание
Профиль,Рефералы,Реферальная система,❌ Отсутствует,❌ Не реализовано,Низкий,Все пользователи,Вирусность
Профиль,Настройки,Настройки уведомлений,❌ Отсутствует,❌ Не реализовано,Средний,Все пользователи,UX
Монетизация,Подписки,Pro/Premium подписки,❌ Отсутствует,❌ Не реализовано,Высокий,Все пользователи,Доходы
Монетизация,Платежи,Kaspi/Stripe интеграция,❌ Отсутствует,❌ Не реализовано,Высокий,Все пользователи,Доходы
Монетизация,Продвижение,Boost видео,❌ Отсутствует,❌ Не реализовано,Средний,Мастера,Доходы
Монетизация,Валюта,Внутренние монеты,❌ Отсутствует,❌ Не реализовано,Низкий,Все пользователи,Геймификация
Админ,Управление,Модерация контента,❌ Отсутствует,❌ Не реализовано,Высокий,Админы,Безопасность
Админ,Управление,Управление пользователями,❌ Отсутствует,❌ Не реализовано,Высокий,Админы,Безопасность
Админ,Аналитика,Dashboard статистика,❌ Отсутствует,❌ Не реализовано,Средний,Админы,Аналитика
Админ,Реклама,Управление рекламой,❌ Отсутствует,❌ Не реализовано,Средний,Админы,Доходы
AI,Рекомендации,Персонализированная лента,❌ Отсутствует,❌ Не реализовано,Средний,Все пользователи,Удержание
AI,Теги,Авто-генерация тегов,❌ Отсутствует,❌ Не реализовано,Низкий,Мастера,Удобство
AI,Голос,Голосовой ассистент,❌ Отсутствует,❌ Не реализовано,Низкий,Все пользователи,Инновация
